POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,F,N,19147,39.933155,-75.164775,1,rooftop,1200,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
MT MORIAH CHURCH,410 WHARTON ST,M,N,19147,39.931851,-75.151827,0.99,rooftop,410-14,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
MT MORIAH CHURCH,410 WHARTON ST,M,N,19147,39.931851,-75.151827,0.99,rooftop,410-14,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
DICKINSON SQUARE RECREATION CENTER,1600 E MOYAMENSING AVE,F,L,19148,39.927668,-75.151643,1,rooftop,1600,E Moyamensing Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
DICKINSON SQUARE RECREATION CENTER,1600 E MOYAMENSING AVE,F,L,19148,39.927668,-75.151643,1,rooftop,1600,E Moyamensing Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MT MORIAH CHURCH,410 WHARTON ST,M,N,19147,39.931851,-75.151827,0.99,rooftop,410-14,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
HERRON RECREATION CENTER,213 REED ST,M,N,19147,39.930696,-75.1487,1,rooftop,213,Reed St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
FURNESS SCHOOL,1900 S 03RD ST,R,N,19148,39.923787,-75.150892,1,rooftop,1900,S 3rd St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
HERRON RECREATION CENTER,213 REED ST,M,N,19147,39.930696,-75.1487,1,rooftop,213,Reed St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,F,N,19147,39.933155,-75.164775,1,rooftop,1200,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
FURNESS SCHOOL,1900 S 03RD ST,R,N,19148,39.923787,-75.150892,1,rooftop,1900,S 3rd St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MUMMERS MUSEUM,200-10 WASHINGTON AVE,B,N,19147,39.933503,-75.14761,1,rooftop,200-10,Washington Ave,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
GLORIA DEI OLD SWEDES CHURCH,916 S SWANSON ST,M,L,19147,39.934844,-75.143441,1,range_interpolation,916,S Swanson St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
CAPITOLO RECREATION CENTER,900 FEDERAL ST,M,N,19147,39.933813,-75.159819,1,rooftop,900,Federal St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
CAPITOLO RECREATION CENTER,900 FEDERAL ST,M,N,19147,39.933813,-75.159819,1,rooftop,900,Federal St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
ST MARONS CHURCH,1013 ELLSWORTH ST,M,L,19147,39.93585,-75.160766,1,range_interpolation,1013,Ellsworth St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
COLUMBUS SQUARE RECREATION CENTER,1200 WHARTON ST,F,N,19147,39.933155,-75.164775,1,rooftop,1200,Wharton St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
ST MARONS CHURCH,1013 ELLSWORTH ST,M,L,19147,39.93585,-75.160766,1,range_interpolation,1013,Ellsworth St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
ST MARONS CHURCH,1013 ELLSWORTH ST,M,L,19147,39.93585,-75.160766,1,range_interpolation,1013,Ellsworth St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
HAWTHORNE RECREATION CENTER,1200 CARPENTER ST,M,N,19147,39.93843,-75.163478,1,rooftop,1200,Carpenter St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
ST MARONS CHURCH,1013 ELLSWORTH ST,M,L,19147,39.93585,-75.160766,1,range_interpolation,1013,Ellsworth St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SANTORE LIBRARY,932 S 07TH ST,A,N,19147,39.937091,-75.155264,1,rooftop,932,S 7th St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
SANTORE LIBRARY,932 S 07TH ST,A,N,19147,39.937091,-75.155264,1,rooftop,932,S 7th St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
SANTORE LIBRARY,932 S 07TH ST,A,N,19147,39.937091,-75.155264,1,rooftop,932,S 7th St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
COURTYARD APARTMENTS AT RIVERVIEW,1021 S 04TH ST,F,L,19147,39.934929,-75.150487,1,range_interpolation,1021,S 4th St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,F,H,19147,39.9375,-75.150615,1,range_interpolation,416,Queen St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,F,H,19147,39.9375,-75.150615,1,range_interpolation,416,Queen St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
FLEISHER ART MEMORIAL,719 CATHARINE ST,R,L,19147,39.939139,-75.154824,1,range_interpolation,719,Catharine St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
PALUMBO RECREATION CENTER,725 S 10TH ST,F,N,19147,39.941128,-75.158806,1,range_interpolation,725,S 10th St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,M,N,19147,39.940033,-75.161711,1,rooftop,1100,Catharine St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,M,N,19147,39.940033,-75.161711,1,rooftop,1100,Catharine St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
ACADEMY AT PALUMBO SCHOOL,1100 CATHARINE ST,M,N,19147,39.940033,-75.161711,1,rooftop,1100,Catharine St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
PALUMBO RECREATION CENTER,725 S 10TH ST,F,N,19147,39.941128,-75.158806,1,range_interpolation,725,S 10th St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
PALUMBO RECREATION CENTER,725 S 10TH ST,F,N,19147,39.941128,-75.158806,1,range_interpolation,725,S 10th St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
FLEISHER ART MEMORIAL,719 CATHARINE ST,R,L,19147,39.939139,-75.154824,1,range_interpolation,719,Catharine St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SETTLEMENT MUSIC SCHOOL-CURTIS,416 QUEEN ST,F,H,19147,39.9375,-75.150615,1,range_interpolation,416,Queen St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST,M,N,19147,39.934938,-75.146012,1,rooftop,101-31,Carpenter St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST,M,N,19147,39.934938,-75.146012,1,rooftop,101-31,Carpenter St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
GLORIA DEI OLD SWEDES CHURCH,916 S SWANSON ST,M,L,19147,39.934844,-75.143441,1,range_interpolation,916,S Swanson St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
SHOT TOWER RECREATION CENTER,101-31 CARPENTER ST,M,N,19147,39.934938,-75.146012,1,rooftop,101-31,Carpenter St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
SAYRE SCHOOL,5800 WALNUT ST,M,L,19139,39.957457,-75.238688,1,rooftop,5800,Walnut St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
MEMORIAL GOSPEL CHURCH,6224 MARKET ST,R,L,19139,39.962239,-75.245652,0.99,rooftop,6224-30,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
SAYRE SCHOOL,5800 WALNUT ST,M,L,19139,39.957457,-75.238688,1,rooftop,5800,Walnut St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
SAYRE SCHOOL,5800 WALNUT ST,M,L,19139,39.957457,-75.238688,1,rooftop,5800,Walnut St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
LENE'S DAILY CHILD CARE II,238-40 S 60TH ST,A,N,19139,39.958005,-75.241871,1,rooftop,238-40,S 60th St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
LENE'S DAILY CHILD CARE II,238-40 S 60TH ST,A,N,19139,39.958005,-75.241871,1,rooftop,238-40,S 60th St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
TABERNACLE LUTHERAN CHURCH,5843 SPRUCE ST,M,N,19139,39.956317,-75.238558,1,range_interpolation,5843,Spruce St,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
CHRISTIAN COMPASSION CDC,6150 CEDAR AVE,F,L,19143,39.95267,-75.246576,1,rooftop,6150,Cedar Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
CHRISTIAN COMPASSION CDC,6150 CEDAR AVE,F,L,19143,39.95267,-75.246576,1,rooftop,6150,Cedar Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
ST GEORGE ST BARNABAS EPISCOPAL CHURCH,520 S 61ST ST,M,L,19143,39.953478,-75.244676,1,range_interpolation,520,S 61st St,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
ANDERSON SCHOOL,1034 S 60TH ST,F,L,19143,39.946865,-75.245019,0.99,rooftop,1034-42,S 60th St,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
BRYANT SCHOOL,6001 CEDAR AVE,M,L,19143,39.952976,-75.243651,1,rooftop,6001,Cedar Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
BRYANT SCHOOL,6001 CEDAR AVE,M,L,19143,39.952976,-75.243651,1,rooftop,6001,Cedar Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
BRYANT SCHOOL,6001 CEDAR AVE,M,L,19143,39.952976,-75.243651,1,rooftop,6001,Cedar Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
ANDERSON SCHOOL,1034 S 60TH ST,F,L,19143,39.946865,-75.245019,0.99,rooftop,1034-42,S 60th St,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
ANDERSON SCHOOL,1034 S 60TH ST,F,L,19143,39.946865,-75.245019,0.99,rooftop,1034-42,S 60th St,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
BLANCHE NIXON LIBRARY,5800 COBBS CREEK PKW,F,L,19143,39.94572,-75.24152,1,rooftop,5800,Cobbs Creek Pkwy,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
TURNER MIDDLE SCHOOL,5900 BALTIMORE AVE,F,L,19143,39.944064,-75.24216,1,rooftop,5900,Baltimore Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
CARING PEOPLE ALLIANCE [OLD SHARON BAPT],5845 CATHARINE ST,F,H,19143,39.950706,-75.239772,1,range_interpolation,5845,Catharine St,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
LONGSTRETH SCHOOL,5700 WILLOWS AVE,F,L,19143,39.941293,-75.232436,1,range_interpolation,5700,Willows Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
FRANCIS MYERS RECREATION CENTER,5801 KINGSESSING AVE,A,L,19143,39.934511,-75.227252,1,range_interpolation,5801,Kingsessing Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
LONGSTRETH SCHOOL,5700 WILLOWS AVE,F,L,19143,39.941293,-75.232436,1,range_interpolation,5700,Willows Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
SALVATION ARMY- WEST PHILA,5522 ARCH ST,M,L,19139,39.961897,-75.230477,1,rooftop,5522,Arch St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
CAMPHOR MEMORIAL U M CHURCH,5620 WYALUSING AVE,F,L,19131,39.968598,-75.232819,1,range_interpolation,5620,Wyalusing Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
CAMPHOR MEMORIAL U M CHURCH,5620 WYALUSING AVE,F,L,19131,39.968598,-75.232819,1,range_interpolation,5620,Wyalusing Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
UNIVERSAL BLUFORD CHARTER SCHOOL,5720 MEDIA ST,M,N,19131,39.973994,-75.235994,0.99,rooftop,5720-38,Media St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
HESTON SCHOOL,1621 N 54TH ST,F,N,19131,39.977945,-75.229826,1,range_interpolation,1621,N 54th St,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
OVERBROOK HIGH SCHOOL,5898 LANCASTER AVE,M,L,19131,39.981813,-75.23843,1,range_interpolation,5898,Lancaster Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
SALVATION ARMY- WEST PHILA,5522 ARCH ST,M,L,19139,39.961897,-75.230477,1,rooftop,5522,Arch St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
UNIVERSAL DAROFF CHARTER SCHOOL,5630 VINE ST,M,L,19139,39.965522,-75.232387,1,range_interpolation,5630,Vine St,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
CHURCH PROPERTY,659 N 56TH ST,M,N,19131,39.970236,-75.232219,1,rooftop,659,N 56th St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
UNIVERSAL BLUFORD CHARTER SCHOOL,5720 MEDIA ST,M,N,19131,39.973994,-75.235994,0.99,rooftop,5720-38,Media St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
HESTON SCHOOL,1621 N 54TH ST,F,N,19131,39.977945,-75.229826,1,range_interpolation,1621,N 54th St,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
MT CARMEL BAPTIST CHURCH,5732 RACE ST,F,N,19139,39.964564,-75.23494,1,range_interpolation,5732,Race St,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
ST MATTHEWS MANOR,230 N 57TH ST,F,L,19139,39.965061,-75.234256,1,range_interpolation,230,N 57th St,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
HAVERFORD BRANCH LIBRARY,5543 HAVERFORD AVE,F,N,19139,39.967465,-75.230969,1,range_interpolation,5543,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
HAVERFORD BRANCH LIBRARY,5543 HAVERFORD AVE,F,N,19139,39.967465,-75.230969,1,range_interpolation,5543,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19139,US,TIGER/Line® dataset from the US Census Bureau
UNIVERSAL BLUFORD CHARTER SCHOOL,5720 MEDIA ST,M,N,19131,39.973994,-75.235994,0.99,rooftop,5720-38,Media St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
UNIVERSAL BLUFORD CHARTER SCHOOL,5720 MEDIA ST,M,N,19131,39.973994,-75.235994,0.99,rooftop,5720-38,Media St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
SWEET UNION BAPTIST CHURCH,1536 N 59TH ST,M,N,19151,39.975443,-75.238878,0.99,rooftop,1536-38,N 59th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
BARRY SCHOOL,5900 RACE ST,M,N,19139,39.964382,-75.238605,1,rooftop,5900,Race St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
BARRY SCHOOL,5900 RACE ST,M,N,19139,39.964382,-75.238605,1,rooftop,5900,Race St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
OVERBROOK HIGH SCHOOL,5898 LANCASTER AVE,M,L,19131,39.981813,-75.23843,1,range_interpolation,5898,Lancaster Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
SOCIETY HILL TOWERS COMMUNITY ROOM,261 ST JAMES PL,F,N,19106,39.947042,-75.150289,0.95,range_interpolation,261,St James Ct,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
MUSEUM OF THE AMERICAN REVOLUTION,101 S 03RD ST,F,N,19106,39.948225,-75.145688,1,rooftop,101,S 3rd St,,,Philadelphia,PA,Philadelphia County,19106,US,Philadelphia
HOPKINSON HOUSE,604 S WASHINGTON SQUARE,B,L,19106,39.945902,-75.152312,0.99,rooftop,604-36,S Washington Sq,,,Philadelphia,PA,Philadelphia County,19106,US,Philadelphia
STARR GARDEN RECREATION CENTER,600-44 LOMBARD ST,F,N,19147,39.942778,-75.152983,1,rooftop,600-44,Lombard St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
GREEK ORTHODOX CHURCH (ST.GEORGE),250-56 S 08TH ST,R,N,19107,39.946341,-75.155104,1,rooftop,250-56,S 8th St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
GREEK ORTHODOX CHURCH (ST.GEORGE),250-56 S 08TH ST,R,N,19107,39.946341,-75.155104,1,rooftop,250-56,S 8th St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
WILLIAM WAY COMMUNITY CENTER,1315 SPRUCE ST,M,N,19107,39.947112,-75.163405,0.99,rooftop,1315-17,Spruce St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
SEGER RECREATION CENTER,1020 LOMBARD ST,F,N,19147,39.943705,-75.158684,1,range_interpolation,1020,Lombard St,,,Philadelphia,PA,Philadelphia County,19147,US,TIGER/Line® dataset from the US Census Bureau
CHURCH OF ST LUKE AND EPIPHANY,330 S 13TH ST,F,N,19107,39.945623,-75.163016,1,range_interpolation,330,S 13th St,,,Philadelphia,PA,Philadelphia County,19107,US,TIGER/Line® dataset from the US Census Bureau
PIER 3 PENNS LANDING,3 N COLUMBUS BLV,M,L,19106,39.950004,-75.150071,0.38,place,,,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
JOHN C. ANDERSON APARTMENTS,251 S 13TH ST,F,N,19107,39.947351,-75.162306,1,range_interpolation,251,S 13th St,,,Philadelphia,PA,Philadelphia County,19107,US,TIGER/Line® dataset from the US Census Bureau
THE SAINT JAMES APARTMENTS,200 W WASHINGTON SQ,R,N,19106,39.947711,-75.153803,1,rooftop,200,W Washington Sq,,,Philadelphia,PA,Philadelphia County,19106,US,Philadelphia
CHINESE CHRISTIAN CHURCH,221-25 N 10TH ST,M,N,19107,39.956146,-75.155416,1,rooftop,221-25,N 10th St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
JOHN C. ANDERSON APARTMENTS,251 S 13TH ST,F,N,19107,39.947351,-75.162306,1,range_interpolation,251,S 13th St,,,Philadelphia,PA,Philadelphia County,19107,US,TIGER/Line® dataset from the US Census Bureau
ST JOHN NEUMANN CENTER-FISHTOWN,1039 N LAWRENCE ST,F,H,19123,39.969359,-75.143974,0.99,rooftop,1039-61,N Lawrence St,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
OLD FIRST REFORMED CHURCH,330 RACE ST,R,N,19106,39.953979,-75.145848,1,range_interpolation,330,Race St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
NORTHERN LIBS NEIGHBORS ASSOCIATION,700 N 03RD ST,A,N,19123,39.962522,-75.14325,0.99,rooftop,700-2,N 3rd St,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
MUSEUM OF THE AMERICAN REVOLUTION,101 S 03RD ST,F,N,19106,39.948225,-75.145688,1,rooftop,101,S 3rd St,,,Philadelphia,PA,Philadelphia County,19106,US,Philadelphia
McCALL SCHOOL,325 S 07TH ST,M,N,19106,39.944589,-75.153235,1,range_interpolation,325,S 7th St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
RODRIGUEZ BRANCH LIBRARY,600 W GIRARD AVE,B,N,19123,39.970126,-75.146877,0.99,rooftop,600-16,W Girard Ave,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
THE FILLMORE MUSIC VENUE,29 E ALLEN ST,F,N,19123,39.965593,-75.135171,1,range_interpolation,29,E Allen St,,,Philadelphia,PA,Philadelphia County,19123,US,TIGER/Line® dataset from the US Census Bureau
PHILADELPHIA SENIOR CENTER,509-11 S BROAD ST,F,N,19147,39.944186,-75.164944,1,rooftop,509-11,S Broad St,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
KEARNEY SCHOOL,601 FAIRMOUNT AVE,F,N,19123,39.964139,-75.148112,0.99,rooftop,601-19,Fairmount Ave,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
CHINESE CHRISTIAN CHURCH,221-25 N 10TH ST,M,N,19107,39.956146,-75.155416,1,rooftop,221-25,N 10th St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
ARTS & CRAFTS HOLDINGS,990 SPRING GARDEN ST,F,L,19123,39.961148,-75.154224,1,rooftop,990,Spring Garden St,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
OLD FIRST REFORMED CHURCH,330 RACE ST,R,N,19106,39.953979,-75.145848,1,range_interpolation,330,Race St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
OLD FIRST REFORMED CHURCH,330 RACE ST,R,N,19106,39.953979,-75.145848,1,range_interpolation,330,Race St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
CHURCH OF ST LUKE AND EPIPHANY,330 S 13TH ST,F,N,19107,39.945623,-75.163016,1,range_interpolation,330,S 13th St,,,Philadelphia,PA,Philadelphia County,19107,US,TIGER/Line® dataset from the US Census Bureau
WILLIAM WAY COMMUNITY CENTER,1315 SPRUCE ST,M,N,19107,39.947112,-75.163405,0.99,rooftop,1315-17,Spruce St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
OLD FIRST REFORMED CHURCH,330 RACE ST,R,N,19106,39.953979,-75.145848,1,range_interpolation,330,Race St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
ARTS & CRAFTS HOLDINGS,990 SPRING GARDEN ST,F,L,19123,39.961148,-75.154224,1,rooftop,990,Spring Garden St,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
NORTHERN LIBS NEIGHBORS ASSOCIATION,700 N 03RD ST,A,N,19123,39.962522,-75.14325,0.99,rooftop,700-2,N 3rd St,,,Philadelphia,PA,Philadelphia County,19123,US,Philadelphia
THE FILLMORE MUSIC VENUE,29 E ALLEN ST,F,N,19123,39.965593,-75.135171,1,range_interpolation,29,E Allen St,,,Philadelphia,PA,Philadelphia County,19123,US,TIGER/Line® dataset from the US Census Bureau
THE FILLMORE MUSIC VENUE,29 E ALLEN ST,F,N,19123,39.965593,-75.135171,1,range_interpolation,29,E Allen St,,,Philadelphia,PA,Philadelphia County,19123,US,TIGER/Line® dataset from the US Census Bureau
OLD FIRST REFORMED CHURCH,330 RACE ST,R,N,19106,39.953979,-75.145848,1,range_interpolation,330,Race St,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
GREEK ORTHODOX CHURCH (ST.GEORGE),250-56 S 08TH ST,R,N,19107,39.946341,-75.155104,1,rooftop,250-56,S 8th St,,,Philadelphia,PA,Philadelphia County,19107,US,Philadelphia
SOCIETY HILL TOWERS COMMUNITY ROOM,261 ST JAMES PL,F,N,19106,39.947042,-75.150289,0.95,range_interpolation,261,St James Ct,,,Philadelphia,PA,Philadelphia County,19106,US,TIGER/Line® dataset from the US Census Bureau
ROBESON HIGH SCHOOL,4125 LUDLOW ST,M,N,19104,39.956854,-75.204637,1,range_interpolation,4125,Ludlow St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
ANGELA COURT NURSING HOME,4400 FAIRMOUNT AVE,F,H,19104,39.963886,-75.211473,0.99,rooftop,4400-58,Fairmount Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
MT OLIVET VILLAGE (PHA),642 N 41ST ST,F,L,19104,39.963649,-75.205868,1,range_interpolation,642,N 41st St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
